premise,hypothesis,label
okay i uh i have five children all together,I do not have any children .,2
But don 't let that discourage you .,It is hard and many people are discouraged because of it .,1
What 's completely intolerable is to be accurately quoted and seen--even by yourself--to be no better than you actually are .,What 's completely intolerable is to be accurately quoted and still come off badly .,1
"But as Mir floated in orbit , the Soviet Union fell apart .",The Mir was launched into orbit by the Soviet Union .,0
"Thus , on close scrutiny , the Zapruder film 's ultimate revelation is that Abraham Zapruder was himself a conspirator .","In the Zapruder film is revealed that he was a conspirator , this was a shock for the public .",1
so we took the wiring harness out and the engine and the transmission and everything else and we put it into the the the shell that was burned we had the shell all sandblasted and painted and he he pretty much built me a car so,We transferred the engine and transmission into another body .,0
"A Utility Maximizer wants to acquire many things , including cash , but also such things as trips to the beach , time to watch TV , adorable grandkids , and ( probably most important in this case ) professional prestige .",Someone who does not want to acquire many things is a Utility Maximizer .,2
"Anyway , there 's no way to identify the owner or owners "" Anse picked up The Three Musketeers .",There is a sure fire way to identify the owner . Anse put the book down .,2
"4 million , which will be divvied up nationwide .","4 million will be divided nationwide , according to the German Prime Minister .",1
yeah because everybody else is growing,"yes , everybody else is never growing",2
"They are heeding the call of a growing pool of law schools , which are for the first time pointing graduates in a new direction and teaching them how to get there .",They are not answering the call of the pool of the law schools .,2
i 've had a chance to i had a chance to terminate and uh L O A and back to L O A,I never had any opportunity to end LOA .,2
no i 'm not in Cape Cod i 'm uh oh about a you know five minute ride from Rhode Island,"I am about five minutes from Rhode Island , not in Cape Cod .",0
"That you value your origins , that you cradle old stories and remember old morals .",You value your origins a lot .,0
Then he has to fudge his faith so that people who don 't share it won 't take it seriously .,He watches what he says to other people to not offend them .,1
Strike a match to see the effect .,"If you want to see what happens , strike the match .",0
A number of related measures can be used to measure changes in visibility associated with reduced fine particle concentrations .,The first method is the best one to use .,1
"'Exactly , ' he nodded .",He responded .,0
"As an example of urgent pro bono need , Dean Glen cited the Civil Court of New York , the nation 's busiest .",The pro bono need is urgent .,0
"Julius , said Tuppence firmly , "" stop walking up and down .",Keep walking up and down Julius !,2
"Gaaaaandhi , gone gone gone .",Gandhi is next to me .,2
"Time describes the crash landing in vivid detail ( right down to an alien giving first aid to a wounded colleague ) , then concedes that the downed spacecraft was undoubtedly a military balloon .",Time intentionally misleads the reader into believing the alien story .,1
"For that , they 'll need to sign certain contracts . ' ",Certain contracts are going to need to be signed to proceed .,0
"When the American diplomat who supervises the international peace monitors in Kosovo accused Serb police of the massacre , the Yugoslav ( i.e.",The American diplomat is extremely happy with his job and accomplishments .,1
"Today , the Loire is a sleepy waterway , running deep only with heavy rains or spring thaws , and its sandbanks and mud flats become islands during the summer .",The Loire 's sandbanks become islands in the summer .,0
Sometimes the people who represent themselves don 't even know the significant facts of their case .,"The law is very easy to understand , so representing yourself in court is the best way to win a case .",2
Using lower cut points for females may maximize screening test performance .,Females might perform higher on the screening tests if the cut points are reduced .,0
"For certain types of work to be performed at an agency , GAO may initially provide only telephone or e-mail message notification .",GAO might only give telephone or email messages .,0
"Situated 85 km ( 53 miles ) northwest of Paris by the A13 , D181 , and D5 , or by train from Gare St-Lazare to Vernon with a shuttle bus from the station to Giverny .",The site can only be reached by helicopter .,2
Ca 'daan felt his heart jump .,"Ca 'daan had a slow , steady pulse .",2
We have examples of these in the giant outer planets .,There are instances of this in some large bodies .,0
okay uh are you in the market for a new car,Are you looking for a new car ?,0
White nodded .,White shook his head no .,2
um me i 'm a firm believer in that if you got it spend it,"If you 've got it , spend it .",0
"Adequate DO is maintained by replacing the air above the water in the bags with oxygen from a compressed gas cylinder , and sealing the bags or by use of an airstone supplied by a portable pump .",Adequate DO replaces the air with water .,2
"Not all falsehoods , of course , are lies ( the key ingredient in a lie is intentionality ) .","All falsehoods are lie , regardless of intentionality .",2
They were pushing the pace all right .,They were pushing the pace .,0
"Greenhouse gas emissions should be addressed in the context of climate change , which is being undertaken by the President 's Cabinet level working group .",Greenhouse gases and climate change are being worked on by the President 's Cabinet .,0
"I had a slew of comfortable rooms with cushions everywhere , and a fridge forever stocked with fatty foods .",There were fattening foods in the refrigerator .,0
Net personal savings,There is only national and government savings .,2
"1.7 , formerly methodology transfer paper 7 .",It used to be paper 7 .,0
"Over the past two decades , Comart has seen the role of Pine Tree change in response to federal funding cuts and stricter regulations .",The role of Pine Tree has changed over the past twenty years .,0
Mangrove trees and shrubs grow on coastal marshland in the brackish zone between the sea and fresh water .,Mangrove trees grow on the coast and provide homes for lots of marine life .,1
we can hook it into our uh a video or uh stereo system and uh put music to the film and that will cut out all the background the noise of the uh recorder running and that,We can cut out all the background noise when we hook it in .,0
"U. S. Army Corps of Engineers ( USACE ) , Construction Industry Institute ( CII ) , 3 and other FFC efforts , as well as others , to augment the study .",The FFC is augmenting the study by funding the original researchers for three more years .,1
"Under current law , LSC recipients may provide legal assistance to an alien if the alien is present in the United States and falls within one of several designated",LSC recipients may provide legal aid to foreign people .,0
Edinburgh Zoo has a penguin parade every day during the summer .,All summer visitors to the Edinburgh Zoo see the penguin parades .,1
"His problem , he said , is the current hiring freeze imposed on all city agencies .",He had a problem finding a job because of the hiring freeze .,1
But a closer analysis of the weather map suggests Mother Nature actually favors the Democrats this year .,Mother Nature has been a democrat for years .,1
"Elsewhere , great events were changing the shape of the world .",The great events that were occurring were important .,1
Shenzhen was China 's first Special Economic Zone .,"Within China was Shenzhen , and it was China 's first and only Special Economic Zone .",1
"Reservations for hotels , jungle lodges , and flights to and within Nepal can be hard to confirm in the busiest seasons if you wait too long .",There is no touristic interest in Nepal and scarcely anyone has visited in decades .,2
What missions or functions is the acquisition to support ?,What is the purpose of acquisition to support ?,0
He might have stowed them there in a hurry .,They might have been put there in a rush .,0
"Still , the Johnnies will wait now . "" In the general relief at Inglethorp 's approaching departure , we had the most genial breakfast we had experienced since the tragedy .","We held a friendly morning meal , one of the best since the event occurred .",0
oh the potato they were they 're delicious but they you don 't get seem to get that much for the space they they do,Potatoes need a lot of space to grow .,1
Local columnists have pointed out a number of errors and unsubstantiated stories in Davis ' two books about Los City of Quartz ( 1990 ) and Ecology of Fear ( 1998 ) .,"Ecology of Fear , according to the columnists , contained errors but Los City of Quartz didn 't .",2
"However , if it is obtained in order to engage the patient in treatment , the information is protected under the above federal regulations that require the express , written permission of the patient before it can be shared with others .",If it is needed to contact the patient the information will not be leaked .,0
"Then after everyone 's gone , stay on to see the marvelous 13th-century sculpted Angel 's Pillar ( Pilier des Anges ) in peace .",There is always a large crowd of people waiting to see the Angel 's Pillar .,1
Seven thousand troops under Sir Ralph Abercromby landed east of San Juan and blockaded the city .,Seven thousand men blockaded the city .,0
The amount recorded by both entities is the transferring entity 's book value of the asset .,"The amount recorded was well over $ 100,000 .",1
"Alternatively , he could have used his address to the Christian Coalition last Friday to criticize religious intolerance .",He could have talked about how tolerant the coalition was .,2
The Duddon Valley and the rolling hillsides around the village of Ulpha were much favored by Wordsworth .,Wordsworth frequently lambasted the Duddon Valley because of its hillsides .,2
But there are different kinds of fishing .,There are different ways to fish .,0
Buy soon or you may miss the chance .,"Don 't buy , you won 't miss it .",2
"Since NOx emissions result in formation of ground-level ozone , reducing NOx emissions will reduce ozone levels and thus reduce the deleterious effects of ozone on human health and ecosystems .",Reducing NOx emissions will have no effect on human health .,2
i think if you know the cities locally you know they 'd get more programs going so that you could do that it 'd make it a lot easier so,If the cities started more programs for children it would be more convenient .,1
"White looked up at me , quite slowly .",White raised his eyes to mine slowly .,0
"An experienced diver may prefer moving onto the Sinai , where the diving is even better .",The diving experience is considered better in Sinai .,0
"The value of Philly 's program , observes former New Jersey Superior Court Judge Daniel R. Coburn , is that it separates the minnows from the sharks , then holds the minnows accountable and hence less likely to become sharks , let alone become the predatory Great Whites we must incarcerate .",The value of Philly 's program is that it doesn 't separate the minnows from the sharks .,2
"As Krishna , he is usually depicted with a blue face , an after-effect of swallowing a poison that threatened the world , and is often represented playing a flute or sporting with the milkmaids he seduced .","He is usually depicted with the blue face as Krishna , an after-effect of swallowing a poison that threatened the world , and is often represented sporting with the milkmaids he seduced , or playing a flute .",0
"MSNBC , USA Today , and Yahoo !",There are news networks .,0
"( 5 ) ( A ) The term baseline heat input means , except under subpart 1 of part B and section 407 , the average annual heat input used by a unit during the three years in which the unit had the highest heat input for the period 1997 through 2001 .",The baseline heat input is the lowest annual heat input over 3 years .,2
"As European power-brokering turned into World War I , Egypt became vital to the British , being close to the enemy Ottoman heartland , and allowing quick passage through the Suez Canal to her dominions in India , the Far East , Australia , and New Zealand .",World War I ended .,2
you know kids,You can predict what these kids will want to do next .,1
part of its infrastructure to help managers run the entity and achieve their aims on an ongoing basis .,The new infrastructure will create more opportunities for the managers .,1
Who is Stark ? asked Jon .,Jon asked who Stark was and what he did for a living .,1
"If you would like a more novel , self-drive way of exploring the desert , hire a Quad Runner .","Hire a Quad Runner to explore the desert in a more novel , self-drive way .",0
"Because companies know they have to deliver high-quality products quickly and affordably , they limit the challenge for their program managers and provide strong incentives to capture design and manufacturing knowledge early in the process .",Companies know that they have to deliver the best quality products quickly .,0
"You enter by the Carriage Gate , where , on the rare occasions they were permitted outside , the women moun ? δed their carriages .",Women were not often permitted outside without wearing the proper attire .,1
"Hindu ethics say that the path to salvation has three righteousness , prosperity honestly achieved , and , not least , pleasure .",The way to achieve prosperity honestly is written in Hindu texts .,1
"There are some smart people--most notably Harvard 's Jeffrey Sachs--who believe that , but my view is that Asian economies had gone seriously off the rails well before last summer , and that some kind of unpleasant comeuppance was inevitable .",I think Asian economies are doing great .,2
They celebrate the U.S. women 's comparative innocence .,They berate the U.S women for their comparative innocence .,2
"There we found an open door , flapping in the breeze .",The door was closed tightly .,2
uh i 'm i 'm not real sure that the young girls of today are being forced into the job market as many of them imply i think they 're going in by choice,There are always jobs available for young girls today .,1
That goddamned hamster dance .,That darn little animal dance .,0
"At 1,467 m ( 4,813 ft ) it dominates the lush and rugged south of Basse Terre .",It is located north of Basse Terre .,2
uh i work on my own i 've got an nineteen eighty Trans Am that i 've had uh since it was new,I work solo and also own a 1980 Trans Am .,0
"Rock , Folk , and The Royal Dublin Society in Ballsbridge holds huge open-air concerts , including rock , folk , and jazz .",There are open-air concerts in Ballsbridge .,0
"A legitimate businessman , Hughes was nonetheless eccentric and dramatic , a style suited to the Las Vegas ethos .",Las vegas does not have an ethos about it .,2
"... Roman , that you have an enormous amount of experience in the field of telecommunications .",Roman has a lot of experience .,0
yeah uh-huh yeah we 're not too far behind i graduated in seventy one so i 'm i 'm same generation i i 'm it 's going to be a short conversation because i agree with you i i think uh i don 't i don 't even think it ought to be uh voluntary i think it ought to be mandatory,I graduated in ninety-one so we grew up in different generations .,2
so but uh Denny Crum ran his mouth a little bit too much,Denny Crum talked only when he had to .,2
yeah well about that same time branches were falling off ev erywhere and we were actually in a state of emergency for two weeks,Branches that have fallen littered the driveways and made it a challenge to commute .,1
This is the most easily accessible of the New Territories ' walled villages .,Other New Territories villages are hard to access .,0
One of his arms was a hook .,He had a hook for one arm .,0
LSC strongly encourages all its grantees to obtain other funding for the client community that Congress has legislated is eligible for LSC funding .,KSC helps its grantees obtain funds,1
"No , I can 't say it did .",There were no clues .,1
and uh you know people say you know it 's expensive for to send kids to college but if if an everybody would be a little bit responsible you know it 's like what what does it cost it costs five hundred dollars a semester suppose that they go to a state college and they live at home,People say college is expensive .,0
"We recognize that federal agencies , including GAO , might be able to achieve some additional savings by taking more advantage of frequent flyer miles for government travel .",GAO will end up spending more money on government travel costs if they use frequent flyer miles .,2
"Today , a reinforced-concrete replica reproduces only the great five-storied tower , 42 m ( 138 ft ) high , surrounded by moats and ivy-covered ramparts .",The ramparts surrounding the tower are fairly new .,1
"Today , a visit to the quarries , just outside town , reveals some of the secrets of how the ancient Egyptians worked the stone .",Visiting the quarries is a great way to learn how ancient Egyptians worked with stone .,0
"Moreover , CBO 's inflated baseline assumes that discretionary spending-which is controlled through annual appropriations-will grow after 2002 at the rate of inflation .","Moreover , CBO 's inflated baseline assumes that discretionary spending-which is controlled through annual appropriations-will grow after 2002 at the rate of inflation , perhaps even more , depending on how inflated the baseline becomes thereafter .",1
no no they don 't and you know they 're just real shallow people,They are shallow people .,0
yeah yeah well i have we have a uh recreation center which is almost right across the street from our uh office,we have access to a recreation center which is pretty much just across the street from our office,0
"However , the Court has since explained that the Rust counseling activities amounted to governmental speech , sustaining view",The Court found that the Rust counseling activities did not amount to governmental speech .,2
that get the kind of control that 's bad you know and that their governments can become so corrupt and it 's like well uh you know i use to feel like,There is no way that the government could be corrupted .,2
"1 . Emergency medicine physicians should increase their knowledge , skills , and confidence in alcohol screening and intervention .",Emergency medicine physicians have nothing to gain by learning about alcohol screening .,2
The kiosk used by Williams is part of a statewide effort to cope with a flood of litigants who cannot afford or refuse to hire lawyers .,"The kiosk is an attempt at easing the flood of litigants unable , or refusing , to hire attorneys .",0
"This great civilization came to a sudden , catastrophic end around 1450 b.c.",The cause of its end was a plague that completely wiped out the population .,1
"'He did this happen ? ' Natalia asked , gesturing to a window .",Natalia silently stared out the window .,2
uh-huh so that might lead you to a biased uh decision perhaps if you were uh-huh,I 'm sure you 'll be fair to both parties,2
oh just to see just just to check on a lab,To see and check the lab .,0
"I can only hope we can save them , thought Jon .",Jon wanted to save them from the angry mob .,1
"Why didn 't you kill me off at once before I regained consciousness ? "" The German hesitated , and Tommy seized his advantage .",The German waited too long and gave Tommy an advantage .,0
but i like Bradshaw as a quarterback and i think uh Joe Montana 's probably one of the finest and John Elway i believe that fellow if he had some different people in front of him he would be on par with with Joe Montana because i really think that Denver did not do much for Elway and his career except make him look bad on times when he really should not have looked that bad,"John Elway and Joe Montana played football together ,",1
uh shoot i can 't even think of the name of it now,I never knew what it was called .,2
"Perfectly sickening the way those brass hats drove from the War Office to the Savoy , and from the Savoy to the War Office !",The hats from the War Office were made of leather .,2
And yet ... they looked at me with awe .,Every single one of them was blind and could not see me standing there .,2
oh so what they 're doing they 're discounting for cash is the way they 're because i think it is illegal to add a surcharge so,Adding a surcharge was abused so it is now illegal .,1
The AIB delivers real-time information in the banner .,The banner does not include information from AIB .,2
yes um-hum uh but you know back to the idea of parents i my my personal feelings is that parents need to be taking more responsibility i think the way i like to look at it you know a lot of people look at well whose job is it to teach the kids well it 's the school 's job i think whose job is it to teach the kids well primarily it 's the parents job,I think parents have a greater responsibility in what concerns their children 's education than school .,0
yeah we do that too we 're fortunate though this year somehow how it 's only March and we 've already used up our entire amount i don 't know if that 's good or bad,We still have ample funds that can sustain us till the end of this month .,2
hm yeah i i enjoy volleyball i 'm just not very good at it and i end up just,I 'm better at volleyball than others .,1
Well what of it ?,What is it ?,2
"Federal Acquisition Streamlining Act of 1994 ( FASA ) ( Public Law 103-355 ) a This law requires agencies to define cost , schedule , and performance goals for federal acquisition programs ( to include IT projects ) and monitor These programs to ensure that they remain within prescribed tolerances .",This law demands agencies define various goals for acquisition programs .,0
you know twenty dollars for tests and forty dollars for this and and you know and it creeps up on you you don 't know that you know you really you you don 't know what it 's gonna cost until it 's all over,You know exactly how much it will cost throughout the whole process .,2
"That first glimpse of the towering , steepled abbey rising from the sea on its rock is a moment you will not forget .",Most people who have viewed the abbey rising from the ocean comment that it is a life-changing experience .,1
"There are two facts of significance . """,We still don 't have any facts .,2
"This is all pure high-toned and irritating , vibrating with barely curtailed snobbism , but also venturing hard queries and unpopular responses .",This is obnoxious and snobby .,0
Cold Mountain is advanced humbug .,Advanced humbug means Cold Mountain .,0
"Unfortunately , these are trappings that come with billion-dollar price tags attached .",These trappings are what come from the billion-dollar price tags associated with them .,0
"Respectfully yours ,",Disrespectfully yours,2
yeah that 's easy to do it 's very easy to do and it 's i don 't it do you find it easier to i mean do with a budget do you feel like you 're you do i mean i know you said you have better control but,"If you have a very small budget , it makes it difficult .",1
Physicians are unlikely to screen if it affects their legitimate expectation for financial remuneration for patient care .,Physicians are doctors for children .,0
"I 've always heard you Revolutionists held life cheap , but it seems there 's a difference when it 's your own life 197 in question .",I 've constantly heard that you Revolutionists value life greatly .,2
"In between was a column of riders , lighting fast and able to cleave into any resistance the two groups of foot soldiers ran into .","Between the light , there were many riders , quickly riding through the groups of foot soldiers .",0
FEMA personnel will be on hand to meet with flood victims to answer questions and provide recovery information and written materials about various assistance programs .,FEMA refuses to help flood victims .,2
"He doesn 't need a cover story or another job as a high-powered media executive , so he has no incentive to lie about his departure .",He is not going to leave the company .,2
yeah i just wish it was a little more convenient convenient to do you know,I want it to be easier to do .,0
"Once in production , programs will cut quantities to maintain funding or once fielded , they rely on the operations and maintenance budget to pay for reliability problems not solved in development .","Once in production , the programs will not cut its quantities .",2
"He also noted that any such upgrade would be a large and expensive effort , and that it was unclear when , if ever , hypertext links could be added to the Federal Register .",Ugrades are a headache .,1
Comments on classified or restricted reports should be transmitted in the manner agreed to by GAO and the agency .,There are specific transmission methodologies for classified reports .,0
"To give the reader a basis for judging the prevalence and consequences of these findings , the instances identified should be related to the population or the number of cases examined and be quantified in terms of dollar",There population cannot be quantified into dollars .,2
"The best book in many years on Washington media , says the Weekly Standard ' s Andrew Ferguson .",The best book in years on Washington media according to everyone except Andrew Ferguson .,2
"Professor Cleveland worked for two years ( 1994-1996 ) for Florida Legal Services as a Skadden Fellow , conducting civil impact litigation on behalf of Caribbean H-2A migrant farmworkers in the southeastern U.S.",Professor Cleveland worked as a Skadden Fellow for two years .,0
Figure 6-3 compares the available boilermaker labor to the demand from the electric utility industry which includes the retrofits from the Clear Skies Act .,Retrofits from the Clear Skies Act did not change demand .,2
"He and his schoolteacher wife , Linda , probably didn 't know they were starting out on the poor side .","His wife , Linda , was a teacher .",0
"This is a pity , for his caustic tone and shallow glosses undermine what is a bold and worthy to write a readable one-volume history of the American people .",The book was phenomenal with no faults .,2
and it was summertime the air conditioner was on the door was closed and i couldn 't knock because i had to hold the jack with the other hand i finally with my elbow rang the doorbell and mother came to the door,"The wintertime is when the air conditioning was on , I couldn 't ring the doorbell because it was frozen .",2
"Any sure thing attracts too many hackneyed ideas , like Wolff 's , and too much foolish money .","When something is a sure thing , hackneyed ideas and foolish money is sure to follow .",0
"Therefore , discussion of some of the applications described here is based on relatively extensive field experience ( with questions in such domains as justice , education , welfare , environment , housing , and foreign aid ) , while the discussion of some of the other applications is based on more constrained experience .",Discussion is solely based on extensive experience like from housing or education .,2
Shops are generally open from 9 : 30 a.m. to 7 : 00 p.m.,Shops rarely extend their business hours for eves of holidays .,1
either either do i they they i don 't know i don 't know how anybody can fall into this you get cash back and buy into that because,I have fallen for the ' you get cash back ' scam a lot of times .,2
"Advertisement , replied Tuppence promptly .",Tuppence replied right away .,0
"And quite a different class from them two detectives from London , what goes prying about , and asking questions .",The London detectives are very unlikable because they are too curious .,1
The Administration will not support any legislation that would cause a significant decline in our nation 's ability to use coal as a major source of current and future electricity .,Legislation that would cause a decline in using coal as a source of energy will not be supported by the Administration .,0
Other publications can be cavalier without worrying about squashing an author 's budding career .,Some publications can be rather cavalier without fear .,0
What about meals ? inquired the practical Tommy .,The impractical Tommy inquired after meals .,2
The numerous six-pointed stars set in the abutments of the main arches are not the Jewish Star of David but an esoteric emblem that you 'll see all over the country .,The six-pointed stars that you 'll see all over the country look similar to the Jewish Star of David .,0
Only the squeamish will object to the giant toads and harmless little white cave-racer snakes .,The little white cave-racer snakes are harmful .,2
Interest on Treasury securities held by revolving funds .,Treasury securities interest held by revolving funds .,0
"Accordingly , we submit a total of cases closed for 1999 of 924,000 .","924,000 cases were closed in 1999 .",0
The short man there--he 's Garm .,Garm is a short but bulky man .,1
We saw the murder in their eyes and the blood on their hands .,We saw blood on their demon hands and murder in their evil eyes .,1
yes it really is and that way we 're not really missing anything out you know of those children uh-huh,We 're not really missing out on childcare benefits .,1
no no i 'm i 'm New England Massachusetts,"No I am in the west , New Mexico .",2
"Mainly owing to the mater 's activities . The village of Styles St. Mary was situated about two miles from the little station , and Styles Court lay a mile the other side of it .",Styles St. Mary was further from the station than Styles Court .,0
"Moreover , the U.S. and worldwide ammonia business is struggling because of slumping domestic demand and increased global capacity for the product and other nitrogen fertilizers derived from it , such as urea .",The ammonia business has been facing competition from the urea business .,0
"A survey of the history of Spain its tradition , grandeur , art , architecture and mix of cultures is crammed into this small city on a Castilian hilltop .",The city is known for being really huge .,2
We all knowed he was comin ' .,We all had heard that he was coming .,1
'You killed my friend .,I killed my friend .,2
"Behind the stage was the Gladiators ' Barracks , where 63 skeletons were found .","63 skeletons were found beyond the stage , in the Gladiator 's Barracks .",0
uh uh my husbands retired but he 's not a gardener he he he 's been helping me more but he really isn 't real uh real crazy about gardening,"My husband is helping me with he garden , but he doesn 't really love doing it .",0
and uh so that 's that 's one thing that 's good,That is a bad thing .,2
I wouldn 't worry about my youngster .,Worry about my youngster .,2
two yeah yeah and then of course Indianapolis which is only a hundred miles away from us has the Colts yeah,We ill go to Indianapolis to see the Colts .,1
"Just before tea , I strolled down to tell Poirot of the new disappointment , but found , to my annoyance , that he was once more out .",Poirot has returned an hour later so that I can tell him the news .,1
go to London quite a lot and see shows down there,I would see shows in London often .,0
"The basement is a square kilometre in size , and that 's the lab .",The basement is tiny .,2
yeah i don 't mind the heat that much it doesn 't bother me that much cold weather i just i don 't know i just can 't tolerate too much with the,I am alright in hot weather but it is hard for me to tolerate cold weather .,0
Near the centrally located Japan Railways station is the first sign of the Portuguese role in the city 's fascinating history .,There is a sign near the railway station that depicts the portuguese involvement in Japan .,0
"The Legal Services Corporation Board of Directors adopted Resolution 98-011 , on November 16 , 1998 , providing authority to establish the Commission with the express purpose of studying the presence requirement for the representation of eligible aliens .",Resolution 98-011 focuses on the presence requirement for representations of aliens .,0
"LSC requires its grantees in each state to work with each other and equal justice stakeholders to develop justice communities that best respond to clients ' most compelling needs , ensure the most strategic and cost-effective use of all available resources , and maximize the opportunity for clients statewide to receive timely , effective , and appropriate legal services .",Legal services include the best lawyers in town .,1
"Consequently , the motivational mechanism is not clear .",We have great clarity on the motivational mechanism .,2
"You won 't envy the men and women you see working in the fields under the blazing sun , but they 're never too tired to return your wave with a smile .",The people who labor outside are optimistic and kind .,0
"The majority of eating places in Istanbul and the Aegean resorts offer the standard fare of bread , salads , kebabs , and seafood .",Very few eating places in Istanbul serve kebabs .,2
This usually does not take up as much room as the SCR reactor itself .,This takes up a lot of space too .,1
"The city also has more than a dozen specialized book shops ; two of the most famous are the Bodhi Tree on Melrose which carries metaphysical and New Age titles , and Book Soup on Sunset Boulevard , which also carries international newspapers and periodicals .",Book Soup on Sunset Boulevard doesn 't sell any newspapers or magazines .,2
"Regardless of the timing of recording T and A data , management must have in place a system of control techniques that gives reasonable assurance that the recorded information reflects time worked , leave taken , or other absences .",There is no need for a system of control techniques because the existing practices are always accurate .,2
Suddenly Julius came to such an abrupt halt that Tommy cannoned into him .,Tommy wasn 't watching where he was walking .,1
"Real jade is extremely expensive , and you may be offered counterfeit jade , which looks exactly like the genuine article .","People will tend to sell you fake jade , which is hard to distinguish from the real article .",1
"Well , I 've always had a secret hankering to be a detective !",I 've always had a hidden desire to solve crimes .,0
i had stuff for like Sanger Harris and you know it got up like to couple of hundred dollars and i thought well that 's okay cause all they wanted was ten dollars a month right i wasn 't thinking a thing about it,Little did I know that the ten was actually a one thousand .,1
We 're told of Estella 's inner struggle--of the tug of war between the punishing cock-tease that her aunt has engineered her to be and her inherent decency--but the conflict isn 't palpable in Paltrow 's paltry performance .,"At the end of the movie , Estella embraces her inherent decency and does the right thing .",1
He hasn 't had a new thought for 20 years .,He has new thoughts every day .,2
"Fifty km ( 30 miles ) further south is the Temple of Edfu , the second biggest temple in Egypt , and one of the best-preserved .",The Temple of Edfu is not well preserved .,2
do they are they yeah okay they 're so they 're still he 's still doing it then huh oh i 'll have to tune in,They don 't do it anymore I will not listen,2
Its two cinemas present a varied program of new international and archival films .,It 's three cinemas show old films only .,2
oh i see so if you have fresh dirt they 'll,If you have fresh dirt I can see that .,0
it is comforting to me to see uh more concern about some of these things that that cost us money especially when we have dwindling uh resources such as oil that 's burning out of control in in the Persian Gulf and and so forth just just every little bit does it makes me feel better it it makes me feel like well there may be something left for my children my nieces and nephews and so forth,It makes me feel good to see people be concerned about our nation 's expenses .,0
right yeah yeah no i i agree with you there though i mean they want to choose that particular religion then that 's fine with me too you know as long as they don 't try and pull me in and drag me in and and i don 't like the way that they do it either and and it 's their mission as they do as they go door-to-door and they go out into the public and they actually have the uh teenagers serving two years like you would say like in an army and two years in going around and doing missionary type work and i don 't know i just um i just don 't particularly care for that at all and that that 's one thing that i feel really strongly about though is uh you know people coming up to my door especially religious organizations and wanting to uh you know to try and get me to join or you know become interested in their religion because i have my own,I 'm very interested in their religion and would like to go door-to-door with them .,2
"Be it enacted by the Senate and House of Representatives of the United States in Congress assembled ,",US Senators and Congressmen assembled and enacted and signed the bill,1
"( Actually , you could have as many judges as you wanted , as long as you ignored all but one of them . )",You can have a lot of judges for your crime .,1
and what will a shot be will a shot be an ounce,I don 't know what a shot is .,2
"On boulevard des Capucines , retrace the footsteps of Renoir , Manet , and Pissarro as they took their paintings to Nadar 's house , signposted at number 35 , for the historic 1874 exhibition of Impressionism .","The paintings of Renoir , Monet and Pissarro were at Nadar 's house .",0
I saw a path at the side of the road .,There was a path leading away from the road .,1
well they may yeah i think eventually but some men don 't see some men just don 't care,"Some men do not seem to care , but eventually I think so .",0
"At the opposite extreme are massive , almost riotous processions of thousands of bellowing , sweat-drenched men fighting to carry a huge portable shrine through the streets to a symbolic destination .",The destination for the portable shrine being fought over has no symbolism to it .,2
The Liberal Humanitarians ( a k a Red-Tailed Hawks ),Conservative humanitarians aka red tailed hawks .,2
"An ' th ' stolen Mex hosses , they 's drove up here an ' maybe sold to some of th ' same fellas what lost th ' others .",They sold them to the same guys that lost the others for twice the normal price .,1
i told my husband well is this weird because see what people don 't understand is even the people that work in the nursing home they will get old one day,I told my husband it was totally normal .,2
"Here 's half a crown for my share . "" Tommy was holding the paper thoughtfully .",Tommy was crinkling the paper in his hand and it almost fell to the ground .,2
you ever serve that yourself when you have company,"Did you ever serve that yourself when you had a company , it 's awful .",1
"One of the most popular excursions from the Aegean resorts goes to the spectacular travertine terraces of Pamukkale ( the Cotton Castle ) , which lie above the town of Denizli , about 200 km ( 125 miles ) inland from Kuradase .","Not many people take the excursion to Pamukkale , but the resorts still offer it .",2
Attorneys praise Zelon for her thorough understanding of the law .,Zelon was very intelligent,1
"We don 't have much leeway around that ' one or two drinks a day , ' he said , and what isn 't known is whether encouraging moderate drinking will also encourage excessive drinking .",It 's an established fact that encouraging moderate drinking does not increase rates of binge drinking .,2
But then I realize how superficial that attitude is .,The all thought it was a great attitude to have .,2
"Probably no one will even notice you at all . """,It would be crazy if anyone noticed you .,1
i like it and what i 've been thinking about doing is volunteering for this uh Asian center that a Doctor Falk has started that works with the school district and doing what,I have been thinking about volunteering for the Asian center .,0
"Sir Ernest Heavywether made short work of her , and under his unmerciful bullying she contradicted herself hopelessly , and Sir Ernest sat down again with a satisfied smile on his face .",Sir Ernest Heavywether enjoyed bullying women .,1
you know i mean that 's the kind of things you know people that she 's keeping and showing that this was a big waste of time it was a waste of paper it was a waste you know to change something like that so,She has wasted time and paper .,0
"Which brings us to the third side of Rockefeller 's personality and the main theme of the book , that of empire-building .",Rockefeller was not interesting at all .,2
I only wanted to tell you something .,"The only thing I wanted to do , was tell you something .",0
"There is now a chapel occupying the site , which has long been a place of pilgrimage , but the building 's foundations may date from the first century .","The site is now occupied by a chapel , the foundation might be a century old at the very least .",0
Unionization is a bad idea that will only make things worse .,"Unions will make things worse , they are bad .",0
defending the decision to deny benefits will deliver the government 's message in the litigation .,The governments message was to deny benefits .,2
"At its southern end you 'll find The Old Cataract Hotel , harking back to the days of Edwardian elegance .",The Old Cataract Hotel is at its southern end .,0
